Date;exchange
1/11/2020;3.607761905
1/12/2020;3.602619048
1/01/2021;3.624575
1/02/2021;3.645275
1/03/2021;3.708152174
1/04/2021;3.69945
1/05/2021;3.773547619
1/06/2021;3.910309524
1/07/2021;3.94005
1/08/2021;4.086190476
1/09/2021;4.107477273
1/10/2021;4.01505
1/11/2021;4.019595238
1/12/2021;4.036977273
1/01/2022;3.889285714
1/02/2022;3.7908
1/03/2022;3.738782609
1/04/2022;3.739736842
1/05/2022;3.757545455
1/06/2022;3.747142857
1/07/2022;3.902184211
1/08/2022;3.873795455
1/09/2022;3.897704545
1/10/2022;3.978714286
1/11/2022;3.877309524
1/12/2022;3.829175
1/01/2023;3.832785714
1/02/2023;3.840875
1/03/2023;3.779608696
1/04/2023;3.765611111
1/05/2023;3.688704545
1/06/2023;3.651047619
1/07/2023;3.6013
1/08/2023;3.696340909
1/09/2023;3.729666667
1/10/2023;3.844409091
1/11/2023;3.761880952
1/12/2023;3.733684211
1/01/2024;3.739809524
1/02/2024;3.827309524
1/03/2024;3.709552632
1/04/2024;3.713159091
1/05/2024;3.730977273
1/06/2024;3.784631579
1/07/2024;3.7644
1/08/2024;3.741325
1/09/2024;3.768214286
1/10/2024;3.753590909
1/11/2024;3.77885
1/12/2024;3.734894737
1/01/2025;3.71356
